Player,Age,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%
James Bailey,22,67,726,122,271,0,0,68,101,71,197,28,21,54,79,116,312,.450,0.0,.673
Billy Ray Bates,23,16,235,72,146,8,19,28,39,13,29,31,14,2,20,26,180,.493,.421,.718
Larry Bird*,23,82,2955,693,1463,58,143,301,360,216,852,370,143,53,263,279,1745,.474,.406,.836
Lawrence Boston,23,13,125,24,52,0,0,8,13,19,39,2,4,2,8,25,56,.462,0.0,.615
Dudley Bradley,22,82,2027,275,609,2,5,136,174,69,223,252,211,48,166,194,688,.452,.400,.782
Bill Cartwright,22,82,3150,665,1215,0,0,451,566,194,726,165,48,101,222,279,1781,.547,0.0,.797
Jeff Cook,23,66,904,129,275,0,3,104,129,90,241,84,28,18,71,102,362,.469,.000,.806
Hollis Copeland,24,75,1142,182,368,0,2,63,86,70,156,80,61,25,84,154,427,.495,.000,.733
John Coughran,28,24,160,29,81,2,9,8,14,2,19,12,7,1,13,24,68,.358,.222,.571
Terry Crosby,23,4,28,2,4,0,0,2,2,0,1,7,0,0,5,4,6,.500,0.0,1.000
Pat Cummings,23,71,900,187,370,0,0,94,123,81,238,53,22,17,74,141,468,.505,0.0,.764
Paul Dawkins,22,57,776,141,300,1,5,33,48,42,125,77,33,9,76,112,316,.470,.200,.688
Greg Deane,22,7,48,2,11,1,1,5,7,2,6,6,0,0,3,3,10,.182,1.000,.714
Larry Demic,22,82,1872,230,528,0,0,110,183,195,483,64,56,30,168,306,570,.436,0.0,.601
Terry Duerod,23,67,1331,282,598,15,53,45,66,29,98,117,41,11,79,102,624,.472,.283,.682
Earl Evans,24,36,381,63,140,7,18,24,42,26,75,37,14,1,36,64,157,.450,.389,.571
Mike Evans,24,79,1246,208,464,12,42,58,85,29,107,230,60,9,128,194,486,.448,.286,.682
Gary Garland,22,78,1106,155,356,6,19,18,26,50,138,145,54,4,73,80,334,.435,.316,.692
Dave Greenwood,22,82,2791,498,1051,1,7,337,416,223,773,182,60,129,210,313,1334,.474,.143,.810
Roy Hamilton,22,72,1116,115,287,0,2,103,150,45,107,192,48,5,118,82,333,.401,.000,.687
Gerald Henderson,24,76,1061,191,382,2,6,89,129,37,83,147,45,15,109,96,473,.500,.333,.690
Johnny High,22,82,1121,144,323,1,7,120,178,69,173,119,71,15,123,172,409,.446,.143,.674
Brad Holland,23,38,197,44,104,3,15,15,16,4,17,22,15,1,13,24,106,.423,.200,.938
Phil Hubbard,23,64,1189,210,451,0,2,165,220,114,320,70,48,10,120,202,585,.466,.000,.750
Geoff Huston,22,71,923,94,241,3,17,28,38,14,58,159,39,5,73,83,219,.390,.176,.737
Abdul Jeelani,25,77,1286,288,565,0,6,161,204,114,270,95,40,40,117,155,737,.510,.000,.789
Cheese Johnson,22,9,53,12,30,0,0,3,5,6,14,2,1,0,4,11,27,.400,0.0,.600
Magic Johnson*,20,77,2795,503,949,7,31,374,462,166,596,563,187,41,305,218,1387,.530,.226,.810
Vinnie Johnson,23,38,325,45,115,0,1,31,39,19,55,54,19,4,42,40,121,.391,.000,.795
Major Jones,26,82,1545,188,392,1,3,61,108,147,381,67,50,67,112,186,438,.480,.333,.565
Greg Kelser,22,50,1233,280,593,3,15,146,203,124,276,108,60,34,140,176,709,.472,.200,.719
Irv Kiffin,28,26,212,32,96,0,0,18,25,12,40,19,10,2,30,43,82,.333,0.0,.720
Carl Kilpatrick,23,2,6,1,2,0,0,1,2,1,4,0,0,0,0,1,3,.500,0.0,.500
Reggie King,22,82,2052,257,499,0,1,159,219,184,566,106,69,31,100,230,673,.515,.000,.726
Arvid Kramer,23,8,45,7,22,0,0,2,2,6,12,3,0,5,5,8,16,.318,0.0,1.000
Allen Leavell,22,77,2123,330,656,3,19,180,221,57,184,417,127,28,205,197,843,.503,.158,.814
Ollie Mack,22,50,681,98,199,0,5,38,51,32,71,53,24,3,35,50,234,.492,.000,.745
Steve Malovic,23,39,445,31,67,0,0,18,27,36,86,26,8,6,23,51,80,.463,0.0,.667
Paul Mokeski,23,12,113,11,33,0,0,7,9,14,29,2,1,6,10,24,29,.333,0.0,.778
Sidney Moncrief*,22,77,1557,211,451,0,1,232,292,154,338,133,72,16,117,106,654,.468,.000,.795
Calvin Natt,23,78,2857,622,1298,3,9,306,419,239,691,169,102,34,198,205,1553,.479,.333,.730
Sylvester Norris,22,17,189,18,43,0,0,4,6,10,43,6,3,12,19,41,40,.419,0.0,.667
Jim Paxson,22,72,1270,189,460,1,22,64,90,25,109,144,48,5,93,97,443,.411,.045,.711
Wiley Peck,22,52,628,73,169,0,2,34,55,66,183,33,17,23,48,100,180,.432,.000,.618
Sam Pellom,28,44,373,44,108,0,0,21,30,28,92,18,12,12,18,70,109,.407,0.0,.700
Clint Richardson,23,52,988,159,348,1,3,28,45,55,123,107,24,15,64,97,347,.457,.333,.622
Cliff Robinson,19,70,1661,391,833,1,4,168,242,174,506,98,61,34,137,178,951,.469,.250,.694
Jim Spanarkel,22,40,442,72,153,0,2,54,65,27,54,51,12,6,57,58,198,.471,.000,.831
Bernard Toone,23,23,124,23,64,1,7,8,10,12,34,12,4,5,16,20,55,.359,.143,.800
Duck Williams,23,77,1794,232,519,0,12,42,60,21,106,183,100,11,107,166,506,.447,.000,.700
Sly Williams,22,57,556,104,267,0,4,58,90,65,121,36,19,8,49,73,266,.390,.000,.644
Bubba Wilson,24,16,143,7,25,0,0,3,6,6,16,12,2,0,8,11,17,.280,0.0,.500
Tony Zeno,22,8,59,6,21,0,0,2,2,3,14,1,4,3,9,13,14,.286,0.0,1.000
