Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
1,Brandon Roy,22,POR,127.0,638.0,640,0.997,57,35.4,16.8,4.4,4.0,1.2,0.2,0.456,0.377,0.838,4.8,0.114
2,Andrea Bargnani,21,TOR,1.0,264.0,640,0.413,65,25.1,11.6,3.9,0.8,0.5,0.8,0.427,0.373,0.824,1.9,0.057
3,Rudy Gay,20,MEM,0.0,93.0,640,0.145,78,27.0,10.8,4.5,1.3,0.9,0.9,0.422,0.364,0.727,0.5,0.011
4,Adam Morrison,22,CHA,0.0,44.0,640,0.069,78,29.8,11.8,2.9,2.1,0.4,0.1,0.376,0.337,0.71,-1.5,-0.03
5,Randy Foye,23,MIN,0.0,37.0,640,0.058,82,22.9,10.1,2.7,2.8,0.6,0.3,0.434,0.368,0.854,2.3,0.058
6,Paul Millsap,21,UTA,0.0,19.0,640,0.03,82,18.0,6.8,5.2,0.8,0.8,0.9,0.525,0.333,0.673,4.7,0.153
7,LaMarcus Aldridge,21,POR,0.0,18.0,640,0.028,63,22.1,9.0,5.0,0.4,0.3,1.2,0.503,0.0,0.722,3.4,0.118
8,Jorge Garbajosa,29,TOR,0.0,17.0,640,0.027,67,28.5,8.5,4.9,1.9,1.2,0.2,0.42,0.342,0.731,3.0,0.074
9,Tyrus Thomas,20,CHI,0.0,10.0,640,0.016,72,13.4,5.2,3.7,0.6,0.6,1.1,0.475,0.0,0.606,2.2,0.11
10,Walter Herrmann,27,CHA,0.0,5.0,640,0.008,48,19.5,9.2,2.9,0.5,0.4,0.1,0.527,0.461,0.774,2.4,0.125
11,Craig Smith,23,MIN,0.0,4.0,640,0.006,82,18.7,7.4,5.1,0.6,0.6,0.2,0.531,0.0,0.624,3.9,0.121
12,Rajon Rondo,20,BOS,0.0,3.0,640,0.005,78,23.5,6.4,3.7,3.8,1.6,0.1,0.418,0.207,0.647,2.4,0.064
