Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Rk,W,L
Kareem Abdul-Jabbar*,C,31,LAL,80,0,3157,777,1347,.577,0,0,0,777,1347,.577,.577,349,474,.736,207,818,1025,431,76,316,282,230,1903,4.0,47.0,35.0
Tom Abernethy,PF,24,GSW,70,0,1219,176,342,.515,0,0,0,176,342,.515,.515,70,94,.745,74,142,216,79,39,13,32,133,422,13.0,38.0,44.0
Alvan Adams,C,24,PHO,77,0,2364,569,1073,.530,0,0,0,569,1073,.530,.530,231,289,.799,220,485,705,360,110,63,279,246,1369,3.0,50.0,32.0
Lucius Allen,PG,31,KCK,31,0,413,69,174,.397,0,0,0,69,174,.397,.397,19,33,.576,14,32,46,44,21,6,30,52,157,6.0,48.0,34.0
Kim Anderson,SF,23,POR,21,0,224,24,77,.312,0,0,0,24,77,.312,.312,15,28,.536,17,28,45,15,4,5,22,42,63,11.0,45.0,37.0
Tiny Archibald*,PG,30,BOS,69,0,1662,259,573,.452,0,0,0,259,573,.452,.452,242,307,.788,25,78,103,324,55,6,197,132,760,21.0,29.0,53.0
Tate Armstrong,SG,23,CHI,26,0,259,28,70,.400,0,0,0,28,70,.400,.400,10,13,.769,7,13,20,31,10,0,21,22,66,20.0,31.0,51.0
Dennis Awtrey,C,30,TOT,63,0,746,44,107,.411,0,0,0,44,107,.411,.411,41,56,.732,42,109,151,69,16,13,52,106,129,8.329268292682928,33.5,29.5
Greg Ballard,SF,24,WSB,82,0,1552,260,559,.465,0,0,0,260,559,.465,.465,119,172,.692,143,307,450,116,58,30,97,167,639,1.0,54.0,28.0
Mike Bantom,PF,27,IND,81,0,2528,482,1036,.465,0,0,0,482,1036,.465,.465,227,338,.672,225,425,650,223,99,62,193,316,1191,14.0,38.0,44.0
Tom Barker,C,23,TOT,39,0,476,68,156,.436,0,0,0,68,156,.436,.436,27,37,.730,45,74,119,15,10,11,34,76,163,8.365853658536587,15.426829268292684,23.573170731707318
Marvin Barnes,PF,26,BOS,38,0,796,133,271,.491,0,0,0,133,271,.491,.491,43,66,.652,57,120,177,53,38,39,68,144,309,21.0,29.0,53.0
Rick Barry*,SF,34,HOU,80,0,2566,461,1000,.461,0,0,0,461,1000,.461,.461,160,169,.947,40,237,277,502,95,38,198,195,1082,12.0,47.0,35.0
Tim Bassett,PF,27,NJN,82,0,1508,116,313,.371,0,0,0,116,313,.371,.371,89,131,.679,174,244,418,99,44,29,103,219,321,19.0,37.0,45.0
